"Frequency [Hz]","POINT_1 1"
1.0000000000000e+01,9.9587929768437e+01
2.0000000000000e+01,1.0086757433904e+02
3.0000000000000e+01,1.0333426012157e+02
4.0000000000000e+01,1.0787776551076e+02
5.0000000000000e+01,1.1222459000423e+02
6.0000000000000e+01,1.0508080067304e+02
7.0000000000000e+01,9.9690962432423e+01
8.0000000000000e+01,9.6019038613071e+01
9.0000000000000e+01,9.3260164889604e+01
1.0000000000000e+02,9.1065313324064e+01
1.1000000000000e+02,8.9260270888058e+01
1.2000000000000e+02,8.7746725897533e+01
1.3000000000000e+02,8.6464290613452e+01
1.4000000000000e+02,8.5373748281692e+01
1.5000000000000e+02,8.4448828253663e+01
1.6000000000000e+02,8.3671856798283e+01
1.7000000000000e+02,8.3031370547707e+01
1.8000000000000e+02,8.2520844042527e+01
1.9000000000000e+02,8.2138157163959e+01
2.0000000000000e+02,8.1885690247380e+01
2.1000000000000e+02,8.1771157833737e+01
2.2000000000000e+02,8.1809636700542e+01
2.3000000000000e+02,8.2028067505309e+01
2.4000000000000e+02,8.2476077587052e+01
2.5000000000000e+02,8.3257253620140e+01
2.6000000000000e+02,8.4653478357713e+01
2.7000000000000e+02,8.8072641010838e+01
2.8000000000000e+02,8.0190209742118e+01
2.9000000000000e+02,8.1878858725053e+01
3.0000000000000e+02,8.6252391303421e+01
3.1000000000000e+02,8.9498855619110e+01
3.2000000000000e+02,9.0212522536301e+01
3.3000000000000e+02,8.7420174152985e+01
3.4000000000000e+02,8.4314262583255e+01
3.5000000000000e+02,8.1548794441008e+01
3.6000000000000e+02,7.9512963863680e+01
3.7000000000000e+02,7.8023225334791e+01
3.8000000000000e+02,7.7091595489824e+01
3.9000000000000e+02,7.6823804017578e+01
4.0000000000000e+02,7.7445799785132e+01
4.1000000000000e+02,7.9255539848293e+01
4.2000000000000e+02,8.1354164648328e+01
4.3000000000000e+02,7.9036667320859e+01
4.4000000000000e+02,7.4971385621595e+01
4.5000000000000e+02,7.2263894480758e+01
4.6000000000000e+02,7.0941009894318e+01
4.7000000000000e+02,7.0169601598170e+01
4.8000000000000e+02,7.0225922898224e+01
4.9000000000000e+02,7.0758910058091e+01
5.0000000000000e+02,7.1671591330750e+01
5.1000000000000e+02,7.2930906318711e+01
5.2000000000000e+02,7.4569740445207e+01
5.3000000000000e+02,7.6726648451854e+01
5.4000000000000e+02,7.9829920122575e+01
5.5000000000000e+02,8.5696416496715e+01
5.6000000000000e+02,8.9244858438792e+01
5.7000000000000e+02,6.2011754962420e+01
